time     | svc | cur | Δ  | tgt | p99
17:16:16 | db  |   1 | -1 |   1 | 20.0000
17:16:46 | api |   5 | -1 |   4 |  4.8041
17:16:46 | app |   1 | -1 |   1 |  5.4059
17:16:46 | db  |   1 | -1 |   1 | 20.0000
17:17:17 | api |   4 | +0 |   4 |  4.7913
17:17:17 | app |   1 | -1 |   1 |  5.2897
17:17:17 | db  |   1 | -1 |   1 | 20.0000
17:17:47 | api |   4 | -1 |   3 |  4.8194
17:17:47 | app |   1 | -1 |   1 |  8.6431
17:17:47 | db  |   1 | -1 |   1 | 20.0000
17:18:17 | api |   3 | -1 |   2 |  4.8834
17:18:17 | app |   1 | -1 |   1 | 23.6983
17:18:17 | db  |   1 | -1 |   1 | 20.0000
2026-02-18T11:18:39+00:00,0.092,0.0627,0.0073
2026-02-18T11:18:54+00:00,0.1467,0.1198,0.0084
2026-02-18T11:19:09+00:00,0.1729,0.121,0.0091
2026-02-18T11:19:24+00:00,0.265,0.1709,0.0098
2026-02-18T11:19:39+00:00,0.3104,0.2109,0.011
2026-02-18T11:19:54+00:00,0.3421,0.2365,0.0095
2026-02-18T11:20:09+00:00,0.3506,0.2416,0.0103
2026-02-18T11:20:24+00:00,0.3669,0.245,0.0104
2026-02-18T11:20:39+00:00,0.3804,0.2447,0.0103
2026-02-18T11:20:54+00:00,0.3836,0.2441,0.0103
2026-02-18T11:21:09+00:00,0.3818,0.2443,0.0102
2026-02-18T11:21:24+00:00,0.3671,0.2437,0.0101
2026-02-18T11:21:39+00:00,0.3677,0.2441,0.0102
2026-02-18T11:21:54+00:00,0.3542,0.243,0.0099
2026-02-18T11:22:09+00:00,0.3565,0.2424,0.0097
2026-02-18T11:22:24+00:00,0.3586,0.242,0.0095
2026-02-18T11:22:39+00:00,0.3551,0.2416,0.0094
2026-02-18T11:22:54+00:00,0.352,0.2411,0.0093
2026-02-18T11:23:09+00:00,0.3504,0.2406,0.0084
2026-02-18T11:23:24+00:00,0.3464,0.2401,0.0092
2026-02-18T11:23:39+00:00,0.3324,0.2408,0.009
2026-02-18T11:23:54+00:00,0.3284,0.2412,0.0084
2026-02-18T11:24:09+00:00,0.3388,0.2412,0.0092
2026-02-18T11:24:24+00:00,0.3366,0.2417,0.0092
2026-02-18T11:24:39+00:00,0.3401,0.2411,0.0091
2026-02-18T11:24:54+00:00,0.3269,0.2414,0.0091
2026-02-18T11:25:09+00:00,0.3389,0.241,0.0091
2026-02-18T11:25:24+00:00,0.3607,0.2417,0.0092
2026-02-18T11:25:39+00:00,0.3625,0.2413,0.0093
2026-02-18T11:25:54+00:00,0.3592,0.2414,0.0093
2026-02-18T11:26:09+00:00,0.3643,0.2409,0.0093
2026-02-18T11:26:24+00:00,0.3663,0.2389,0.0094
2026-02-18T11:26:39+00:00,0.3572,0.2375,0.0087
2026-02-18T11:26:54+00:00,0.3486,0.2365,0.0095
2026-02-18T11:27:09+00:00,0.3386,0.2348,0.0095
2026-02-18T11:27:24+00:00,0.3273,0.2103,0.0094
2026-02-18T11:27:39+00:00,0.333,0.2309,0.0093
2026-02-18T11:27:54+00:00,0.3515,0.2083,0.0093
2026-02-18T11:28:09+00:00,0.3279,0.2129,0.0085
2026-02-18T11:28:24+00:00,0.3381,0.228,0.009
2026-02-18T11:28:39+00:00,0.3394,0.2273,0.008
2026-02-18T11:28:54+00:00,0.3387,0.227,0.0089
2026-02-18T11:29:09+00:00,0.3354,0.2269,0.0089
2026-02-18T11:29:24+00:00,0.3471,0.2268,0.0089
2026-02-18T11:29:39+00:00,0.3295,0.2106,0.0089
2026-02-18T11:29:54+00:00,0.3336,0.2265,0.0089
2026-02-18T11:30:09+00:00,0.3371,0.2261,0.0089
2026-02-18T11:30:24+00:00,0.3374,0.2268,0.0088
2026-02-18T11:30:39+00:00,0.3361,0.2265,0.0088
2026-02-18T11:30:54+00:00,0.3378,0.2265,0.0089
2026-02-18T11:31:09+00:00,0.3344,0.2262,0.0089
2026-02-18T11:31:24+00:00,0.3348,0.2254,0.0088
2026-02-18T11:31:39+00:00,0.3275,0.2252,0.0089
2026-02-18T11:31:54+00:00,0.3147,0.2255,0.0089
2026-02-18T11:32:09+00:00,0.3209,0.2244,0.0087
2026-02-18T11:32:24+00:00,0.3266,0.2245,0.008
2026-02-18T11:32:39+00:00,0.3271,0.2251,0.0085
2026-02-18T11:32:54+00:00,0.3334,0.2254,0.0086
2026-02-18T11:33:09+00:00,0.3249,0.2258,0.0085
2026-02-18T11:33:24+00:00,0.3348,0.2259,0.0085
2026-02-18T11:33:39+00:00,0.3314,0.2256,0.0085
2026-02-18T11:33:54+00:00,0.3348,0.2258,0.0085
2026-02-18T11:34:09+00:00,0.3492,0.224,0.0079
2026-02-18T11:34:24+00:00,0.3356,0.2205,0.0085
2026-02-18T11:34:39+00:00,0.3304,0.2181,0.0084
2026-02-18T11:34:54+00:00,0.3157,0.215,0.0083
2026-02-18T11:35:09+00:00,0.3134,0.2099,0.0082
2026-02-18T11:35:24+00:00,0.3064,0.2071,0.0079
2026-02-18T11:35:39+00:00,0.2958,0.2039,0.008
2026-02-18T11:35:54+00:00,0.2866,0.2026,0.0078
2026-02-18T11:36:09+00:00,0.3062,0.202,0.0078
2026-02-18T11:36:24+00:00,0.2964,0.201,0.0079
2026-02-18T11:36:39+00:00,0.2998,0.2021,0.008
